n,m,density,bellmanford_us,bellmanford_ops
100,200,0.020202,14,1232
500,1000,0.004008,83,7814
1000,2000,0.002002,175,16245
2000,4000,0.001001,425,39946
500,500,0.002004,295,30933
500,2500,0.010020,118,17910
500,12500,0.050100,216,86498
500,50000,0.200401,677,348833
1000,1000,0.001001,1607,178298
1000,5000,0.005005,285,45787
1000,10000,0.010010,405,106047
1000,50000,0.050050,710,346658
1000,100000,0.100100,1234,898398
1000,200000,0.200200,3255,1798191
