n,m,density,dijkstra_us,dijkstra_ops
100,200,0.020202,43,200
500,1000,0.004008,156,1000
1000,2000,0.002002,328,1994
2000,4000,0.001001,756,4000
5000,10000,0.000400,1966,9995
10000,20000,0.000200,3151,20000
500,500,0.002004,19,348
500,2500,0.010020,298,2500
500,12500,0.050100,464,12500
500,50000,0.200401,909,50000
1000,1000,0.001001,43,848
1000,5000,0.005005,516,5000
1000,10000,0.010010,849,10000
1000,50000,0.050050,820,50000
1000,100000,0.100100,1048,100000
1000,200000,0.200200,1122,200000
